Model,Average Score
ground truth,0.9786949585714285
claude-3-5-sonnet-20240620,0.9332487855714285
o1-mini,0.9263173192857143
Llama-3.1-405B-Instruct,0.9100895162857142
o1-preview,0.9049992635714287
gemini-1.5-pro-002-IT1,0.8960146387142858
gemini-1.5-pro-002-IT2,0.8958154858571428
Llama-3.1-Nemotron-70B-Instruct,0.8900591069999999
gemini-1.5-pro-002-IT3,0.8876878034285715
gemini-1.5-pro-002-IT4,0.8817992165714286
mistral-large-2407,0.8245984157142858
Qwen2.5-72B-Instruct,0.8129994184285715
gpt-4o-mini,0.8048839817142859
Llama-3.2-90B-Vision-Instruct,0.8026224482857144
codestral-2405,0.7867196202857142
WizardLM-2-8x22B,0.7785129292857144
gpt-4,0.7507211691428571
open-mixtral-8x22b,0.7444538549999999
gemini-1.5-flash-002,0.6814975332857144
gpt-4o,0.6545843107142856
