Model,Average Score
ground truth,0.9877506697777778
o1-mini,0.9418163155555556
claude-3-5-sonnet-20240620,0.9339012448888888
o1-preview,0.9239814582222223
gemini-1.5-pro-002-IT2,0.8959494427777778
gemini-1.5-pro-002-IT1,0.8764916661111112
gpt-4o,0.8608404305555556
gemini-1.5-pro-002-IT3,0.8544154255555555
Llama-3.1-405B-Instruct,0.8538891835555557
gemini-1.5-pro-002-IT4,0.8458439175555555
Llama-3.1-Nemotron-70B-Instruct,0.8432758437777776
mistral-large-2407,0.8296800831111111
Qwen2.5-72B-Instruct,0.822766821
Llama-3.2-90B-Vision-Instruct,0.8207887246666665
open-mixtral-8x22b,0.7984586301111112
gpt-4,0.7956809874444446
gemini-1.5-flash-002,0.7832452933333333
WizardLM-2-8x22B,0.7657600178888888
codestral-2405,0.7593864935555555
gpt-4o-mini,0.6876261064444443
