level of details,,,,
,,,,
Model,LOW,HIGH,VERY HIGH,Total Average
ground truth,0.986343433,0.977155572,0.990725786,0.98422327
claude-3-5-sonnet-20240620,0.926371004,0.935993119,0.932809188,0.93134829
o1-preview,0.904148714,0.939599653,0.91105045,0.918281977
o1-mini,0.853808359,0.955099366,0.931737995,0.90874262
gemini-1.5-pro-002-IT3,0.886005831,0.883154441,0.807296326,0.865330468
Llama-3.1-405B-Instruct,0.855886545,0.880168956,0.826042967,0.856924494
Llama-3.1-Nemotron-70B-Instruct,0.858065089,0.837764408,0.788398976,0.833543322
Llama-3.2-90B-Vision-Instruct,0.757149682,0.79781513,0.886924828,0.803826375
Qwen2.5-72B-Instruct,0.792558661,0.858664476,0.740297811,0.802630484
mistral-large-2407,0.802947733,0.828799345,0.658191345,0.7758067
gpt-4,0.693937423,0.786884226,0.81079119,0.755682246
gpt-4o,0.6324759,0.86803782,0.793083851,0.755074559
gpt-4o-mini,0.737408232,0.806276832,0.636848929,0.736372416
WizardLM-2-8x22B,0.74534896,0.74076205,0.701879516,0.732876181
codestral-2405,0.805534234,0.800756491,0.517723814,0.731909419
gemini-1.5-flash-002,0.651884094,0.794480919,0.751974162,0.7268155
open-mixtral-8x22b,0.612951207,0.783328758,0.803616892,0.720249771
