Partial order,,,,,,,,,
Sequqntial,,,,simple concurrency,,,,complex,
Model,Average Score,,,Model,Average Score,,,Model,Average Score
ground truth,0.98,,,ground truth,0.98,,,ground truth,0.99
o1-mini,0.93,,,o1-mini,0.95,,,claude-3-5-sonnet-20240620,0.92
claude-3-5-sonnet-20240620,0.92,,,claude-3-5-sonnet-20240620,0.94,,,o1-preview,0.91
o1-preview,0.92,,,o1-preview,0.93,,,gemini-1.5-pro-002-IT3,0.91
Llama-3.2-90B-Vision-Instruct,0.89,,,Llama-3.1-405B-Instruct,0.89,,,o1-mini,0.85
Llama-3.1-Nemotron-70B-Instruct,0.83,,,gemini-1.5-pro-002-IT3,0.87,,,Llama-3.1-405B-Instruct,0.84
gpt-4o,0.83,,,gpt-4o,0.84,,,Llama-3.1-Nemotron-70B-Instruct,0.84
Llama-3.1-405B-Instruct,0.80,,,Qwen2.5-72B-Instruct,0.84,,,codestral-2405,0.82
Qwen2.5-72B-Instruct,0.79,,,Llama-3.1-Nemotron-70B-Instruct,0.83,,,mistral-large-2407,0.81
gpt-4,0.79,,,gemini-1.5-flash-002,0.81,,,Qwen2.5-72B-Instruct,0.77
open-mixtral-8x22b,0.76,,,Llama-3.2-90B-Vision-Instruct,0.81,,,Llama-3.2-90B-Vision-Instruct,0.77
mistral-large-2407,0.75,,,open-mixtral-8x22b,0.80,,,WizardLM-2-8x22B,0.75
gemini-1.5-pro-002-IT3,0.74,,,gpt-4o-mini,0.78,,,gpt-4o-mini,0.75
codestral-2405,0.65,,,WizardLM-2-8x22B,0.77,,,gpt-4,0.73
gemini-1.5-flash-002,0.64,,,gpt-4,0.76,,,gemini-1.5-flash-002,0.66
WizardLM-2-8x22B,0.58,,,mistral-large-2407,0.75,,,gpt-4o,0.63
gpt-4o-mini,0.57,,,codestral-2405,0.68,,,open-mixtral-8x22b,0.62
