log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,1,8,8,8,6.624101162,
02.txt,2,16,16,16,57.75778246,
03.txt,1,11,11,11,14.5434556,
04.txt,1,10,10,10,7.318723917,
05.txt,5,11,13,11,175.5819693,
06.txt,1,10,10,10,14.03932118,
07.txt,2,13,14,13,32.36573863,
08.txt,10,12,12,12,199.589401,
09.txt,1,13,16,13,12.65192771,
10.txt,1,9,11,9,50.33500051,
11.txt,1,12,12,12,17.35431695,
12.txt,1,10,10,10,12.71578741,
13.txt,3,9,12,9,67.72542405,
14.txt,2,10,11,10,15.79483843,
15.txt,2,10,11,10,30.43889618,
16.txt,4,24,27,24,145.2391579,
17.txt,2,25,25,25,47.64328194,
18.txt,6,26,28,26,250.5626202,
order.txt,4,8,9,8,69.8004539,
hotel.txt,1,13,12,12,29.06427002,
