log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,1,8,8,8,7.682828426,
02.txt,9,16,18,16,353.0341861,
03.txt,3,11,11,11,270.3890498,
04.txt,5,10,10,9,169.594101,
05.txt,2,11,12,11,25.41044354,
06.txt,1,10,10,10,11.90343928,
07.txt,11,13,15,13,296.7717113,
08.txt,4,12,12,12,69.69619608,
09.txt,2,13,23,13,35.30815768,
10.txt,3,9,9,9,28.89443779,
11.txt,5,12,12,12,112.2352786,
12.txt,2,10,11,10,33.60471725,
13.txt,3,9,11,9,37.65350628,
14.txt,1,10,10,10,62.71900177,
15.txt,3,10,12,10,129.6183174,
16.txt,7,24,27,22,208.6867738,
17.txt,5,25,25,24,406.4580588,
18.txt,6,26,42,26,451.2988749,
order.txt,2,8,9,8,66.02171254,
hotel.txt,6,13,13,13,482.5291998,
