log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,num_it
01.txt,8,8,9,8,63.47120118,4
02.txt,4,16,17,16,41.39189076,2
03.txt,2,11,11,11,7.896079302,1
04.txt,8,10,10,10,59.22865748,4
05.txt,2,11,11,11,18.21951866,1
06.txt,6,10,12,10,46.35024714,3
07.txt,10,13,15,13,113.193115,5
08.txt,6,12,12,12,46.51937461,3
09.txt,2,13,13,13,11.13791108,1
10.txt,4,9,10,9,30.31926799,2
11.txt,8,12,14,12,101.4315238,4
12.txt,2,10,10,10,14.76291299,1
13.txt,18,9,11,9,239.8531127,9
14.txt,2,10,10,10,9.950572968,1
15.txt,2,10,10,10,24.08538365,1
16.txt,2,24,21,21,19.77134943,1
17.txt,20,25,31,24,383.4447782,10
18.txt,4,26,29,26,43.51755977,2
order.txt,2,8,8,8,9.729436159,1
hotel.txt,6,13,16,13,75.06798005,3
