log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,4,8,12,8,64.60783339,
02.txt,1,16,16,16,11.86161089,
03.txt,6,11,15,11,111.7492368,
04.txt,4,10,13,10,59.95151448,
05.txt,2,11,13,11,23.62915039,
06.txt,1,10,10,10,5.822095394,
07.txt,8,13,16,13,174.6163898,
08.txt,1,12,12,12,10.08191991,
09.txt,4,13,13,12,88.6470449,
10.txt,2,9,9,9,20.83676219,
11.txt,3,12,15,12,52.47167659,
12.txt,2,10,11,10,20.77029085,
13.txt,5,9,11,9,75.37185359,
14.txt,9,10,14,10,167.9359615,
15.txt,3,10,12,10,33.8165586,
16.txt,9,24,22,18,316.3231618,
17.txt,14,25,32,25,658.6636934,
18.txt,11,26,29,25,460.8218732,
order.txt,1,8,7,7,4.957676411,
hotel.txt,3,13,14,13,76.73515463,
