log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,1.0,8,9,8,11.601063251495361,
02.txt,11.0,16,20,15,345.380882024765,
03.txt,11.0,11,11,10,265.05965995788574,
04.txt,1.0,10,10,10,13.48493242263794,
05.txt,7.0,11,17,10,218.74145412445068,
06.txt,7.0,10,10,10,202.8173313140869,
07.txt,6.0,13,11,11,199.95855689048767,
08.txt,1.0,12,11,11,18.220716953277588,
09.txt,1.0,13,13,13,14.375786304473877,
10.txt,1.0,9,9,7,15.823813915252686,
11.txt,1.0,12,13,10,13.87697696685791,
12.txt,1.0,10,10,10,19.960617303848267,
13.txt,11.0,9,13,8,407.5406823158264,
14.txt,11.0,10,16,9,308.2301788330078,
15.txt,1.0,10,10,10,13.973926305770874,
16.txt,4.0,24,23,22,156.16757702827454,
17.txt,8.0,25,23,23,374.70485615730286,
18.txt,11.0,26,30,19,590.395206451416,
order.txt,3.0,8,8,8,66.20834851264954,
hotel.txt,6.0,13,16,12,272.79323077201843,
