,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
ground truth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gemini-1.5-pro-002,0.958333333,0.951058201,0.890909091,0.858058608,1,0.921474359,0.939139038,0.958333333,0.908730159,0.914480519,0.863126742,0.843239433,0.807043651,0.875066962,0.786713287,0.946265727,0.800008644,0.71708204,1,0.959354326
gemini-1.5-pro-002,0.85,0.951058201,0.890909091,0.800824176,0.861996337,0.921474359,0.877408627,0.807692308,0.978655462,0.88902972,0.895440937,0.785125589,0.933035714,0.91875,0.832167832,0.958942416,0.902375811,0.857475323,1,0.91552895
gemini-1.5-pro-002,0.773148148,0.86443106,0.890909091,0.809425693,0.940277778,0.826354895,0.833845274,0.807692308,0.875798319,0.898311966,0.863126742,0.810760007,0.831597222,0.867521368,0.904166667,0.866445921,0.946737532,0.908504757,1,0.936749984
gemini-1.5-pro-002,0.773148148,0.951058201,0.890909091,0.88003663,0.940277778,0.921474359,0.833845274,0.807692308,0.710888901,0.801304529,0.930928072,0.843239433,0.807043651,0.875066962,0.954545455,0.885575869,0.793869046,0.901707706,1,0.939159982
claude-3-5-sonnet-20240620,0.85,0.951058201,0.813131313,0.925431711,0.924305556,0.964285714,0.842879257,0.954545455,0.935178571,0.907397186,0.879351759,0.860941043,1,0.916666667,0.954545455,0.944581934,0.943851679,0.981608152,0.933571429,0.969128788
o1-preview,0.938552189,0.951058201,0.976068376,0.903486395,0.939005439,0.961309524,0.842879257,0.954545455,0.981462276,0.837613775,0.942821082,0.931341639,1,0.861111111,0.916083916,0.882219977,0.985601722,0.872581207,1,0.853125902
gpt-4o-mini,0.773148148,0.860321351,0.7,0.784340659,0.840732184,0.863068182,0.767494712,0.713286713,0.790524934,0.82994339,0.643001645,0.809620527,0.541666667,0.796103896,0.865079365,0.492580499,0.731673731,0.712147074,0.778591686,0.906670168
o1-mini,0.872222222,0.951058201,0.813131313,0.88003663,0.948015873,0.921474359,0.817587663,0.954545455,0.978655462,0.895604396,0.730164801,0.908441558,1,0.905982906,0.954545455,0.93248849,0.945663698,0.861362691,0.896616162,0.928860851
Llama-3.2-90B-Vision-Instruct,0.763095238,0.821423384,0.890909091,0.789734075,0.861628017,0.670915543,0.644995246,0.807692308,0.802583905,0.81260989,0.833446589,0.832468457,0.933035714,0.867521368,0.954545455,0.849612507,0.671270549,0.75615659,0.844444444,0.898238998
gpt-4,0.550925926,0.739932825,0.859090909,0.668831169,0.789789377,0.921474359,0.643418643,0.858516484,0.728937729,0.815416667,0.715307941,0.640352703,0.829897186,0.905982906,0.748251748,0.774008821,0.700881016,0.624888534,0.837662338,0.719566905
gpt-4o,0.85462963,0.75130719,0.726010101,0.935119048,0.924305556,0.866418998,0.729719803,0.954545455,0.859434683,0.895512821,0.781259334,0.756314453,1,0.761580087,0.843434343,0.92472502,0.911421802,0.773639646,0.89,0.576769401
open-mixtral-8x22b,0.773148148,0.571089934,0.890909091,0.787379287,0.713344988,0.921474359,0.588343674,0.807692308,0.762117347,0.687897242,0.606534024,0.710681514,0.793339646,0.887878788,0.830982906,0.912603564,0.865976142,nan,0.897083333,0.859985693
codestral-2405,0.822222222,0.659200903,0.813131313,0.654220779,0.77004662,0.921474359,0.765165781,0.863636364,0.948907563,0.76512876,0.671205662,0.650757311,0.810763889,0.644805195,0.843434343,nan,0.82699465,0.742250702,0.900858586,0.709199146
mistral-large-2407,0.773148148,0.82480029,0.890909091,0.876648352,0.943933824,0.801018773,0.695863417,0.863636364,0.716424647,0.826211636,0.773134631,0.704586419,0.78582702,0.817460317,0.843434343,0.603617023,0.678204918,0.825975354,0.98452381,0.95596566
gemini-1.5-flash-002,0.643518519,0.862544706,0.621565934,0.800824176,0.721452213,0.773863636,0.596689202,0.821428571,0.679180195,0.938928571,0.551484391,0.745955908,0.681051587,0.75,0.843434343,0.813815325,0.712197912,0.782539756,0.891236541,0.842626803
Qwen2.5-72B-Instruct,0.643518519,0.883714597,0.669444444,0.611222111,0.706773782,0.863068182,0.55520486,0.954545455,0.914167406,0.92152972,0.622205885,0.773555149,0.869543651,0.735042735,0.786713287,0.868940017,0.761455923,0.755525122,0.911188811,0.878647333
Llama-3.1-405B-Instruct,0.773148148,0.883714597,0.890909091,0.911904762,0.812728938,0.921474359,0.746068396,0.954545455,0.935178571,0.755290404,0.740043739,0.799564853,0.807043651,0.867521368,0.870629371,0.720218388,0.840096464,0.797907726,0.922619048,0.938160173
Llama-3.1-405B-Instruct,0.773148148,0.883714597,0.890909091,0.911904762,0.812728938,0.921474359,0.746068396,0.954545455,0.935178571,0.755290404,0.740043739,0.799564853,0.807043651,0.867521368,0.870629371,0.720218388,0.840096464,0.797907726,0.922619048,0.938160173
WizardLM-2-8x22B,0.736111111,0.659200903,0.756965257,0.840201465,0.646380471,0.877424659,0.824168814,0.95,0.752380952,0.7128996,0.745816336,0.799564853,0.795621392,0.693181818,0.858333333,0.758757701,0.824235038,0.743333987,0.98452381,0.8897793
Llama-3.1-Nemotron-70B-Instruct,0.773148148,0.787915173,0.890909091,0.873626374,0.891224054,0.921474359,0.70047302,0.954545455,0.782294196,0.880743146,0.700636694,0.781166056,0.762202381,0.867521368,0.838141026,0.63768315,0.732006427,0.742365384,0.837662338,0.969128788
