log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision,time,num_it
01.txt,6,8,11,8,skipped,skipped,skipped,skipped,skipped,skipped,5.339404106,3
02.txt,12,16,17,16,skipped,skipped,skipped,skipped,skipped,skipped,21.97766852,6
03.txt,6,11,13,11,skipped,skipped,skipped,skipped,skipped,skipped,5.207381725,3
04.txt,4,10,11,10,skipped,skipped,skipped,skipped,skipped,skipped,0.533673048,2
05.txt,10,11,14,11,skipped,skipped,skipped,skipped,skipped,skipped,13.73669672,5
06.txt,6,10,12,10,skipped,skipped,skipped,skipped,skipped,skipped,8.433177948,3
07.txt,8,13,15,13,skipped,skipped,skipped,skipped,skipped,skipped,11.87819433,4
08.txt,2,12,12,12,skipped,skipped,skipped,skipped,skipped,skipped,-1.208361149,1
09.txt,8,13,24,13,skipped,skipped,skipped,skipped,skipped,skipped,11.14247823,4
10.txt,2,9,9,9,skipped,skipped,skipped,skipped,skipped,skipped,-1.930314064,1
11.txt,6,12,14,12,skipped,skipped,skipped,skipped,skipped,skipped,7.432866096,3
12.txt,6,10,12,10,skipped,skipped,skipped,skipped,skipped,skipped,5.961586952,3
13.txt,8,9,13,9,skipped,skipped,skipped,skipped,skipped,skipped,7.770365953,4
14.txt,6,10,12,10,skipped,skipped,skipped,skipped,skipped,skipped,4.339134932,3
15.txt,2,10,10,10,skipped,skipped,skipped,skipped,skipped,skipped,-1.877967358,1
16.txt,6,24,26,22,skipped,skipped,skipped,skipped,skipped,skipped,12.60164762,3
17.txt,8,25,29,24,skipped,skipped,skipped,skipped,skipped,skipped,18.86300325,4
18.txt,16,26,32,26,skipped,skipped,skipped,skipped,skipped,skipped,48.65538096,8
order.txt,2,8,8,8,skipped,skipped,skipped,skipped,skipped,skipped,-2.223145485,1
hotel.txt,8,13,17,13,skipped,skipped,skipped,skipped,skipped,skipped,13.54868102,4
