log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,1.0,8,9,8,3.9296610355377197,
02.txt,4.0,16,20,16,19.55601143836975,
03.txt,1.0,11,11,11,3.6605517864227295,
04.txt,2.0,10,11,10,6.577686309814453,
05.txt,5.0,11,13,11,19.14119601249695,
06.txt,1.0,10,10,10,3.4664628505706787,
07.txt,2.0,13,15,13,10.106462478637695,
08.txt,1.0,12,12,12,3.5633857250213623,
09.txt,3.0,13,16,13,14.805232763290405,
10.txt,3.0,9,12,9,10.172297954559326,
11.txt,2.0,12,17,12,7.072327613830566,
12.txt,1.0,10,10,10,3.0802502632141113,
13.txt,11.0,9,18,9,48.29486155509949,
14.txt,4.0,10,32,10,15.834724426269531,
15.txt,2.0,10,11,10,7.160776138305664,
16.txt,11.0,24,26,21,82.0600974559784,
17.txt,2.0,25,26,24,13.105142831802368,
18.txt,11.0,26,61,26,83.56440806388855,
19.txt,4.0,8,10,8,13.106767892837524,
20.txt,1.0,13,12,12,4.601280689239502,
