log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,10.0,8,10,8,24.320576667785645,
02.txt,1.0,16,16,16,3.2671236991882324,
03.txt,1.0,11,11,11,3.5512423515319824,
04.txt,2.0,10,13,10,5.179559230804443,
05.txt,1.0,11,11,11,2.7515764236450195,
06.txt,5.0,10,10,10,13.368650197982788,
07.txt,1.0,13,13,13,3.2262179851531982,
08.txt,1.0,12,12,12,2.7671892642974854,
09.txt,4.0,13,18,13,12.185802459716797,
10.txt,1.0,9,9,9,2.8280675411224365,
11.txt,2.0,12,14,12,6.195479393005371,
12.txt,2.0,10,11,10,5.210376262664795,
13.txt,4.0,9,13,9,10.124409198760986,
14.txt,11.0,10,11,9,26.68049144744873,
15.txt,2.0,10,9,9,5.093064785003662,
16.txt,2.0,24,25,22,8.210283517837524,
17.txt,11.0,25,27,23,56.93705344200134,
18.txt,3.0,26,24,23,12.749001741409302,
19.txt,4.0,8,8,6,10.176111221313477,
20.txt,6.0,13,15,12,20.444411754608154,
