log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,2.0,8,9,8,3.243959665298462,
02.txt,3.0,16,17,16,9.275458097457886,
03.txt,1.0,11,11,11,2.1510488986968994,
04.txt,1.0,10,10,10,2.906266212463379,
05.txt,4.0,11,13,11,8.867709875106812,
06.txt,1.0,10,10,10,2.847888946533203,
07.txt,1.0,13,13,13,2.4493913650512695,
08.txt,2.0,12,13,12,4.652495384216309,
09.txt,11.0,13,3,3,34.7839834690094,
10.txt,3.0,9,12,9,8.018234968185425,
11.txt,4.0,12,17,12,11.895002126693726,
12.txt,2.0,10,12,10,4.823448657989502,
13.txt,5.0,9,16,9,13.471451759338379,
14.txt,11.0,10,7,7,34.47535753250122,
15.txt,1.0,10,10,10,2.764611005783081,
16.txt,2.0,24,30,23,7.573826551437378,
17.txt,11.0,25,28,23,50.902703523635864,
18.txt,8.0,26,27,25,37.581156492233276,
19.txt,2.0,8,9,8,4.518220901489258,
20.txt,5.0,13,22,13,16.460768699645996,
