process_id,fitness_percFitTraces,averageFitness,precision,f_measure
1,0,0.643518519,0.882352941,0.744244155
2,0,0.823555165,0.548543689,0.658488982
3,0,0.468506494,0.321428571,0.381275321
4,7.142857143,0.876648352,0.869822485,0.873222079
5,25,0.924305556,0.928571429,0.926433581
6,0,0.819507576,0.981132075,0.893066159
7,0,0.80780355,0.857142857,0.831742139
8,0,0.772727273,0.909090909,0.835380835
9,7.142857143,0.759821429,0.944444444,0.842132837
10,0,0.658080151,0.338983051,0.447470164
11,0,0.460290148,0.5,0.479324034
12,0,0.676129426,0.666666667,0.671364704
13,0,0.61962031,0.444444444,0.517612868
14,0,0.895833333,0.705882353,0.789594491
15,0,0.870629371,0.818181818,0.843591191
16,0,0.54327176,0.774193548,0.638494978
17,0,0.810529376,0.465863454,0.591661134
18,0,0.82589766,0.772973654,0.798559742
19,0,0.833730159,0.777777778,0.804782621
20,0,0.793369715,0.815884477,0.804469596
,,0.744188766,0.716169032,0.718645581
