log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,6.0,8,10,8,13.820053815841675,
02.txt,Error,16,None,None,28.194159746170044,429 Resource has been exhausted (e.g. check quota).
log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,1.0,8,11,8,2.2492027282714844,
02.txt,10.0,16,17,16,41.008488178253174,
03.txt,3.0,11,21,11,8.924545764923096,
04.txt,1.0,10,10,10,2.167997360229492,
05.txt,1.0,11,11,11,2.1621434688568115,
06.txt,2.0,10,11,10,4.0652220249176025,
07.txt,8.0,13,15,13,24.040156602859497,
08.txt,1.0,12,14,12,2.706392288208008,
09.txt,5.0,13,15,13,13.542142152786255,
10.txt,11.0,9,16,9,32.606627464294434,
11.txt,2.0,12,15,12,5.681314945220947,
12.txt,5.0,10,13,10,15.51343321800232,
13.txt,5.0,9,20,9,12.578311920166016,
14.txt,1.0,10,9,9,2.607572078704834,
15.txt,2.0,10,11,10,4.842725992202759,
16.txt,11.0,24,34,22,56.90216827392578,
17.txt,11.0,25,31,24,58.12280225753784,
18.txt,2.0,26,26,26,9.224399328231812,
19.txt,3.0,8,10,8,7.007155895233154,
20.txt,5.0,13,18,13,18.195764303207397,
