log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
01.txt,2,8,8,8,76.0,0.94,76.0,0.94,0.9373440961214825,1.0
02.txt,4,16,16,16,0.8097165991902834,0.861406587971694,0.8097165991902834,0.861406587971694,0.8602481359264073,1.0

04.txt,4,10,11,10,0.0,0.8133142857142881,0.0,0.8133142857142881,0.8140214216163584,0.9740180032733224
05.txt,2,11,11,11,100.0,1.0,100.0,1.0,0.9999051547033606,0.8069030501849654

07.txt,2,13,13,13,6.382978723404255,0.901467770426807,6.382978723404255,0.901467770426807,0.899929486923576,0.918825561312608
08.txt,2,12,13,12,51.2,0.951199999999993,51.2,0.951199999999993,0.9511952440237799,1.0
09.txt,2,13,13,13,0.0,0.8736579749332765,0.0,0.8736579749332765,0.8731336992657068,0.7142857142857143
10.txt,2,9,9,9,11.9,0.6892401875463017,11.9,0.6892401875463017,0.7452551113823619,0.8732733493853757
14.txt,8,10,10,10,0.0,0.9034851512667563,0.0,0.9034851512667563,0.893237965003308,0.5191065017949741


03.txt,2,11,11,11,8.8,0.864775237680081,8.8,0.864775237680081,0.8610144469049879,1.0
06.txt,4,10,10,10,26.6,0.8922590762586204,26.6,0.8922590762586204,0.8870088677724224,1.0

17.txt,2,25,25,25,0.0,0.6387430619923761,0.0,0.6387430619923761,0.6917412436315509,0.7609209579607359
18.txt,12,26,30,26,0.0,0.6792413711834109,0.0,0.6792413711834109,0.6850151059650071,0.6111111111111112

11.txt,4,12,12,12,21.717171717171716,0.8462430089881067,21.717171717171716,0.8462430089881067,0.844438298026468,0.9571428571428572
15.txt,6,10,12,10,0.0,0.8518181818181723,0.0,0.8518181818181723,0.8544152744630071,0.9
16.txt,2,24,24,24,11.11111111111111,0.9534123605047911,11.11111111111111,0.9534123605047911,0.9530008132094107,0.9624664879356568
