log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
01.txt,2,8,8,8,12.1,0.688053846153847,12.1,0.688053846153847,0.7119479053501774,0.9367016747090547,7.214130401611328
02.txt,8,16,19,16,0.0,0.818766060886326,0.0,0.818766060886326,0.8178181597562338,0.8571428571428572,61.59661293029785
03.txt,2,11,11,11,8.8,0.864775237680081,8.8,0.864775237680081,0.8610144469049879,1.0,8.669682264328003
04.txt,4,10,11,10,0.0,0.8598619047619029,0.0,0.8598619047619029,0.8605647517039923,0.8888888888888888,18.84005570411682
05.txt,2,11,11,11,0.44052863436123346,0.7848929967109619,0.44052863436123346,0.7848929967109619,0.7827210466834982,0.7504764697258466,8.226303339004517
06.txt,4,10,11,10,0.0,0.8434804887921883,0.0,0.8434804887921883,0.8390372898222311,0.9786369790883105,17.47901749610901
07.txt,2,13,13,13,0.7978723404255319,0.7654227339435944,0.7978723404255319,0.7654227339435944,0.7642973289155001,1.0,12.925200939178467
08.txt,2,12,12,12,0.0,0.8647272727272777,0.0,0.8647272727272777,0.8647272727272728,0.8649789029535865,8.559698581695557
09.txt,4,13,17,13,1.1627906976744187,0.9362814188395582,1.1627906976744187,0.9362814188395582,0.9363592222799645,0.85,22.251980781555176
10.txt,2,9,9,9,11.9,0.7435969873649441,11.9,0.7435969873649441,0.7821950699784738,1.0,7.39355206489563
11.txt,4,12,12,12,21.717171717171716,0.8462430089881067,21.717171717171716,0.8462430089881067,0.844438298026468,0.9571428571428572,21.820880651474
12.txt,6,10,10,10,0.06590509666080843,0.6109252996382657,0.06590509666080843,0.6109252996382657,0.6106015826103537,0.8929377468497273,30.36696434020996
13.txt,4,9,12,9,0.0,0.8982821428571406,0.0,0.8982821428571406,0.8995871798639965,0.4003013561024611,17.42799997329712
14.txt,2,10,10,10,0.0,0.8748537557767961,0.0,0.8748537557767961,0.8538403472353274,0.7992540295723991,7.499993801116943
15.txt,Error,10,None,None,None,None,None,None,None,None,0.3322935104370117
16.txt,Error,24,None,None,None,None,None,None,None,None,22.326849937438965
17.txt,Error,25,None,None,None,None,None,None,None,None,44.36341714859009
18.txt,Error,26,None,None,None,None,None,None,None,None,0.31087517738342285
hotel.txt,4,13,13,13,23.863636363636363,0.9342126088667622,23.863636363636363,0.9342126088667622,0.9339766805875833,0.9921021455837831,32.63054847717285
order.txt,Error,8,None,None,None,None,None,None,None,None,0.36415648460388184
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
15.txt,Error,10,None,None,None,None,None,None,None,None,0.3958456516265869
16.txt,Error,24,None,None,None,None,None,None,None,None,0.8693797588348389
17.txt,Error,25,None,None,None,None,None,None,None,None,0.8687033653259277
18.txt,Error,26,None,None,None,None,None,None,None,None,0.8601417541503906
order.txt,Error,8,None,None,None,None,None,None,None,None,0.8679242134094238
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
15.txt,Error,10,None,None,None,None,None,None,None,None,12.820674896240234
16.txt,Error,24,None,None,None,None,None,None,None,None,0.8558354377746582
17.txt,Error,25,None,None,None,None,None,None,None,None,21.40491771697998
18.txt,Error,26,None,None,None,None,None,None,None,None,0.8552179336547852
order.txt,Error,8,None,None,None,None,None,None,None,None,0.8521831035614014
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
15.txt,Error,10,None,None,None,None,None,None,None,None,17.404961347579956
16.txt,Error,24,None,None,None,None,None,None,None,None,22.922070264816284
17.txt,Error,25,None,None,None,None,None,None,None,None,0.8799829483032227
18.txt,Error,26,None,None,None,None,None,None,None,None,0.3109750747680664
order.txt,Error,8,None,None,None,None,None,None,None,None,0.8818862438201904
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
15.txt,Error,10,None,None,None,None,None,None,None,None,0.8832523822784424
16.txt,Error,24,None,None,None,None,None,None,None,None,0.34537386894226074
17.txt,Error,25,None,None,None,None,None,None,None,None,0.8364830017089844
18.txt,Error,26,None,None,None,None,None,None,None,None,0.3715999126434326
order.txt,Error,8,None,None,None,None,None,None,None,None,0.8353183269500732
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
15.txt,Error,10,None,None,None,None,None,None,None,None,0.3779408931732178
16.txt,Error,24,None,None,None,None,None,None,None,None,0.8364617824554443
17.txt,Error,25,None,None,None,None,None,None,None,None,0.3060922622680664
18.txt,Error,26,None,None,None,None,None,None,None,None,0.8121333122253418
order.txt,Error,8,None,None,None,None,None,None,None,None,0.39376068115234375
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
15.txt,Error,10,None,None,None,None,None,None,None,None,0.9143564701080322
16.txt,Error,24,None,None,None,None,None,None,None,None,0.3458564281463623
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
