log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,num_it
01.txt,4,8,8,8,9.418087959,2
02.txt,2,16,16,16,8.105261564,1
03.txt,2,11,11,11,3.714313745,1
04.txt,2,10,10,10,2.115466833,1
05.txt,4,11,11,11,17.84551573,2
06.txt,2,10,10,10,5.003939152,1
07.txt,2,13,13,13,6.027282715,1
08.txt,2,12,12,12,3.411773443,1
09.txt,4,13,13,12,18.07270217,2
10.txt,6,9,10,9,23.23567343,3
11.txt,6,12,12,12,39.89229631,3
12.txt,2,10,10,10,2.995108843,1
13.txt,4,9,12,9,12.296839,2
14.txt,2,10,10,10,2.809963226,1
15.txt,2,10,10,10,2.335586548,1
16.txt,6,24,23,23,54.00435591,3
17.txt,8,25,28,25,96.14721823,4
18.txt,6,26,28,26,50.99894905,3
order.txt,2,8,8,8,1.390650511,1
hotel.txt,8,13,13,13,63.29483676,4
