log_name,added_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time (sec),error message
01.xes,11.0,8,12,8,140.0664038658142,
02.xes,3.0,16,17,16,27.95906138420105,
03.xes,6.0,11,12,10,50.27563762664795,
04.xes,6.0,10,12,10,63.08706283569336,
05.xes,11.0,11,14,10,109.52084469795227,
06.xes,1.0,10,11,10,17.596887826919556,
07.xes,3.0,13,14,13,34.820805072784424,
08.xes,1.0,12,13,12,9.054150581359863,
09.xes,1.0,13,17,12,13.06658411026001,
10.xes,1.0,9,11,9,8.79572081565857,
11.xes,1.0,12,13,12,7.0253002643585205,
12.xes,3.0,10,11,10,21.384023904800415,
13.xes,11.0,9,6,1,117.87145137786865,
14.xes,1.0,10,11,10,7.108092546463013,
15.xes,3.0,10,9,9,20.625345468521118,
16.xes,11.0,24,37,21,271.5171980857849,
