log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
01.txt,4,8,9,8,skipped,skipped,skipped,skipped,skipped,skipped,24.922317504882812
02.txt,2,16,16,16,skipped,skipped,skipped,skipped,skipped,skipped,18.6185884475708
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
01.txt,4,8,9,8,skipped,skipped,skipped,skipped,skipped,skipped,25.18426537513733
02.txt,2,16,15,15,skipped,skipped,skipped,skipped,skipped,skipped,12.581978559494019
03.txt,4,11,12,11,skipped,skipped,skipped,skipped,skipped,skipped,27.123438835144043
04.txt,2,10,10,10,skipped,skipped,skipped,skipped,skipped,skipped,8.526149272918701
05.txt,2,11,11,11,skipped,skipped,skipped,skipped,skipped,skipped,10.427776098251343
06.txt,2,10,10,10,skipped,skipped,skipped,skipped,skipped,skipped,9.39345383644104
07.txt,4,13,14,13,skipped,skipped,skipped,skipped,skipped,skipped,30.083141565322876
08.txt,4,12,15,12,skipped,skipped,skipped,skipped,skipped,skipped,25.994635105133057
09.txt,6,13,15,13,skipped,skipped,skipped,skipped,skipped,skipped,43.80558466911316
10.txt,4,9,10,9,skipped,skipped,skipped,skipped,skipped,skipped,24.129813194274902
11.txt,2,12,12,12,skipped,skipped,skipped,skipped,skipped,skipped,15.53068733215332
12.txt,2,10,10,10,skipped,skipped,skipped,skipped,skipped,skipped,8.392714023590088
13.txt,4,9,10,9,skipped,skipped,skipped,skipped,skipped,skipped,18.710326671600342
14.txt,4,10,11,10,skipped,skipped,skipped,skipped,skipped,skipped,30.106274604797363
15.txt,4,10,11,10,skipped,skipped,skipped,skipped,skipped,skipped,21.89209270477295
16.txt,2,24,21,21,skipped,skipped,skipped,skipped,skipped,skipped,15.551396369934082
17.txt,8,25,29,25,skipped,skipped,skipped,skipped,skipped,skipped,127.34965324401855
