log_name,visible_transitions_ground_truth_log,visible_transitions_model,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
01.txt,8,8,8,100.0,1.0,100.0,1.0,0.9999577315956323,1.0
02.txt,16,16,16,100.0,1.0,100.0,1.0,0.9999785182860004, 0.9708804385063378
03.txt,11,11,11,100.0,1.0,100.0,1.0,0.9999843616538896,0.9972250708813416
04.txt,10,10,10,100.0,1.0,100.0,1.0,0.9999921252197926,0.9990298914691081
05.txt,11,11,11,100.0,1.0,100.0,1.0,0.9999487854780736, 0.9713073433036464
06.txt,10,10,10,100.0,1.0,100.0,1.0,0.9999801833016014,0.9993317493317493
07.txt,13,13,13,100.0,1.0,100.0,1.0, 0.9999527191491486, 0.974960876369327
08.txt,12,12,12,100.0,1.0,100.0,1.0,1.0,1.0
09.txt,13,13,13,100.0,1.0,100.0,1.0,0.9999845061376279, 0.9761747187293184
10.txt,9,9,9,100.0,1.0,100.0,1.0,0.999950973594171,0.9961987510181917
11.txt,12,12,12,100.0,1.0,100.0,1.0,0.999950052161551,1.0
12.txt,10,10,10,100.0,1.0,100.0,1.0,0.9999525247519726, 0.9722688847946245
13.txt,9,9,9,100.0,1.0,100.0,1.0,0.9999884118980432,1.0
14.txt,10,10,10,100.0,1.0,100.0,1.0,1.0,0.9998595998595998
15.txt,10,10,10,100.0,1.0,100.0,1.0,0.9999910030560112,1.0
16.txt,24,24,24,100.0,1.0,100.0,1.0,0.9999901616311839,0.9858934169278997
17.txt,25,25,25,100.0,1.0,100.0,1.0,0.9999818616954277,0.9950652757823724
18.txt,27,27,27,100.0,1.0,100.0,1.0,0.9999494942216439,0.9712800568415542
hotel.txt,13,13,13,100.0,1.0,100.0,1.0,9999975659446447,1.0
order.txt,8,8,8,100.0,1.0,100.0,1.0,0.9999784642111081,1.0
