Model,Total Average,high,low,very_high,high_to_low
ground truth,0.98422327,0.982809828,0.9863434329999999,0.9907257858000001,0.9820557647333332
o1-mini,0.9087426202,0.9453654613333334,0.8538083585,0.9317379948000001,0.9010774953333335
claude-3-5-sonnet-20240620,0.9313482901499999,0.9346664809166666,0.926371004,0.9328091881999999,0.9308613241333333
o1-preview,0.91828197675,0.9277041519166667,0.9041487140000001,0.9110504498,0.9206924857333332
gemini-1.5-pro-002-IT2,0.8839612304500001,0.9077283270833334,0.8483105855,0.9457980182,0.8633489678666666
gemini-1.5-pro-002-IT1,0.8742627088000001,0.880145708,0.8654382099999999,0.83679658,0.8867514183999999
Llama-3.1-405B-Instruct,0.8569244941499999,0.8576164605833334,0.8558865445,0.8260429674,0.8672183364
gemini-1.5-pro-002-IT3,0.8653304681,0.8515468930000001,0.88600583075,0.8072963264,0.8846751820000001
gemini-1.5-pro-002-IT4,0.86156506125,0.8441475560833333,0.887691319,0.8129648702000001,0.8777651249333331
gpt-4o,0.7550745594999999,0.8368069994166666,0.6324758996250001,0.793083851,0.7424047956666667
Llama-3.2-90B-Vision-Instruct,0.8038263752000001,0.8349441708333333,0.75714968175,0.8869248276,0.7761268910666667
Llama-3.1-Nemotron-70B-Instruct,0.8335433222,0.81719547775,0.8580650888750001,0.7883989760000001,0.8485914375999999
Qwen2.5-72B-Instruct,0.8026304837000001,0.8093450323333334,0.79255866075,0.7402978111999999,0.8234080412000001
gpt-4,0.7556822458999999,0.7968454610000001,0.69393742325,0.81079119,0.7373125978666665
open-mixtral-8x22b,0.7202497711999999,0.7917821470833334,0.612951207375,0.8036168918,0.6924607309999999
gemini-1.5-flash-002,0.7268154997,0.7767697699999999,0.65188409425,0.7519741618,0.718429279
mistral-large-2407,0.7758067,0.7577126782499999,0.802947732625,0.6581913454,0.8150118182
gpt-4o-mini,0.736372416,0.7356818721666668,0.73740823175,0.6368489287999999,0.7695469117333334
WizardLM-2-8x22B,0.7328761805499999,0.7245609940833333,0.74534896025,0.7018795158000001,0.7432084021333333
codestral-2405,0.7319094188,0.6828262088333333,0.80553423375,0.5177238138,0.8033046204666667
