Model,Up_to_12,13_and_Higher
ground truth,0.9839518506153847,0.9847273345714286
gemini-1.5-pro-002-IT1,0.8859795095384615,0.8525029359999998
gemini-1.5-pro-002-IT2,0.8825833911538461,0.8865200748571429
gemini-1.5-pro-002-IT3,0.8590630633076922,0.8769699341428572
gemini-1.5-pro-002-IT4,0.8555935055384616,0.8726550932857143
claude-3-5-sonnet-20240620,0.9330270304615385,0.9282306295714287
o1-preview,0.9345985870769231,0.8879797004285714
gpt-4o-mini,0.7205971953076923,0.7656692544285714
o1-mini,0.9329645428461538,0.8637590495714286
Llama-3.2-90B-Vision-Instruct,0.815921306076923,0.7813643607142857
gpt-4,0.7708983141538461,0.7274238334285714
gpt-4o,0.7769931304615384,0.714368642
open-mixtral-8x22b,0.8078711364615383,0.5575243785714286
codestral-2405,0.7792117226153846,0.6440622831428572
mistral-large-2407,0.8439978641538463,0.6491659665714286
gemini-1.5-flash-002,0.7336434703846154,0.7141349827142857
Qwen2.5-72B-Instruct,0.8203179668461539,0.7697823007142857
Llama-3.1-405B-Instruct,0.8713483135384615,0.830137401
WizardLM-2-8x22B,0.7456045167692307,0.709237841857143
Llama-3.1-Nemotron-70B-Instruct,0.8646119123076924,0.775844512
