Model,up_to_9,u_to_12,up_to_16,Higher
ground truth,0.998815166,0.9773459326666666,0.9786909802500001,0.992775807
gemini-1.5-pro-002-IT1,0.9163331365,0.8724890086666667,0.904427274,0.7832704853333333
gemini-1.5-pro-002-IT2,0.9360358452499999,0.8588267448888889,0.95889613875,0.7900186563333333
gemini-1.5-pro-002-IT3,0.8293586365,0.8722650307777778,0.8991262904999999,0.8474281256666667
gemini-1.5-pro-002-IT4,0.8059916112500001,0.877638791888889,0.9093473639999999,0.8237320656666666
claude-3-5-sonnet-20240620,0.92791823725,0.9352976052222223,0.94585414025,0.9047326153333333
o1-preview,0.9487838445,0.9282940282222223,0.86899039775,0.9132987706666666
gpt-4o-mini,0.6550898855,0.749711555222222,0.843924313,0.6613291763333332
o1-mini,0.955542163,0.9229300450000001,0.951736068,0.7464563583333333
Llama-3.2-90B-Vision-Instruct,0.829390431,0.8099350283333334,0.81993423025,0.7299378679999999
gpt-4,0.76709096875,0.7725904676666668,0.79082347475,0.6428909783333333
gpt-4o,0.92280432775,0.712188153888889,0.7509081895,0.6656492453333334
open-mixtral-8x22b,0.77941948725,0.820516313888889,0.5720855515000001,0.5381094813333333
codestral-2405,0.7552545884999999,0.7898593377777778,0.7283596525,0.5316657906666666
mistral-large-2407,0.8375197994999999,0.846877004,0.79283176925,0.457611563
gemini-1.5-flash-002,0.82007126525,0.6952311171111112,0.8010745362499999,0.598215578
Qwen2.5-72B-Instruct,0.835930869,0.8133788992222223,0.842507946,0.6728147736666666
Llama-3.1-405B-Instruct,0.816240096,0.8958408546666666,0.91659230625,0.714864194
WizardLM-2-8x22B,0.6512972149999999,0.7875188731111112,0.83503442475,0.5415090646666667
Llama-3.1-Nemotron-70B-Instruct,0.83996551025,0.8755658687777779,0.7992908324999999,0.7445827513333333
