log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
01.txt,8,8,9,8,0.0,0.655987394957984,0.0,0.655987394957984,0.6827661909989022,0.9037141703673799,63.47120118141174
02.txt,4,16,17,16,0.0,0.7773836328288326,0.0,0.7773836328288326,0.7764055094687772,0.9947937525030036,41.39189076423645
03.txt,2,11,11,11,8.8,0.864775237680081,8.8,0.864775237680081,0.8610144469049879,1.0,7.8960793018341064
04.txt,8,10,10,10,0.5,0.7527842105263147,0.5,0.7527842105263147,0.7535273616818747,0.9191643960036331,59.228657484054565
05.txt,2,11,11,11,0.0,0.7848830005230433,0.0,0.7848830005230433,0.783366665909242,0.9231812019882513,18.219518661499023
06.txt,6,10,12,10,0.0,0.7604016594046704,0.0,0.7604016594046704,0.7571412424415456,0.4,46.3502471446991
07.txt,10,13,15,13,0.5319148936170213,0.7917086063455189,0.5319148936170213,0.7917086063455189,0.7924647119779158,1.0,113.19311499595642
08.txt,6,12,12,12,0.0,0.8647272727272777,0.0,0.8647272727272777,0.8647272727272728,0.8649789029535865,46.51937460899353
09.txt,2,13,13,13,0.0,0.7627437162320879,0.0,0.7627437162320879,0.7604660329223306,0.8580931263858094,11.137911081314087
10.txt,4,9,10,9,0.0,0.6527187510394219,0.0,0.6527187510394219,0.6904186265627832,0.5250099509088497,30.319267988204956
11.txt,8,12,14,12,0.0,0.5026488662852304,0.0,0.5026488662852304,0.5135968354207556,0.4631170271769274,101.43152379989624
12.txt,2,10,10,10,0.043936731107205626,0.5338829642577453,0.043936731107205626,0.5338829642577453,0.532428135450741,1.0,14.76291298866272
13.txt,18,9,11,9,49.7,0.9626428571428571,49.7,0.9626428571428571,0.9639873730324049,1.0,239.85311269760132
14.txt,2,10,10,10,0.0,0.8888971768388684,0.0,0.8888971768388684,0.8854724184537754,0.8,9.950572967529297
15.txt,2,10,10,10,47.5,0.941666666666676,47.5,0.941666666666676,0.9445910290237467,1.0,24.085383653640747
16.txt,2,24,21,21,0.0,0.7803482108722727,0.0,0.7803482108722727,0.7797723656990203,0.9333333333333333,19.77134943008423
17.txt,Error,25,None,None,None,None,None,None,None,None,401.9351797103882
18.txt,4,26,29,26,0.0,0.7771015187085597,0.0,0.7771015187085597,0.7794353539775609,0.7,43.51755976676941
hotel.txt,6,13,16,13,0.0,0.9057630819473043,0.0,0.9057630819473043,0.9056650724651237,0.7016179215930305,75.06798005104065
order.txt,2,8,8,8,0.0,0.8659813676590928,0.0,0.8659813676590928,0.8692417717110287,1.0,9.729436159133911
