log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,num_it
01.txt,2,8,8,8,32.51293492,1
02.txt,2,16,17,16,135.0215256,1
03.txt,2,11,11,11,27.34530616,1
04.txt,2,10,10,10,42.66023326,1
05.txt,20,11,11,11,708.3065767,10
06.txt,4,10,11,10,113.6545675,2
07.txt,2,13,13,13,32.66918612,1
08.txt,2,12,12,12,34.54514909,1
09.txt,10,13,25,13,343.2680235,5
10.txt,2,9,9,9,32.80969882,1
11.txt,6,12,12,12,153.0372276,3
12.txt,4,10,11,10,86.61409688,2
13.txt,14,9,12,9,549.4681196,7
14.txt,4,10,12,10,74.47395277,2
15.txt,2,10,10,10,53.44102073,1
16.txt,4,24,92,23,309.792094,2
17.txt,6,25,42,25,168.0086293,3
18.txt,12,26,27,25,337.1607106,6
order.txt,2,8,8,8,13.98154831,1
hotel.txt,2,13,13,13,44.43605232,1
