,run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,NUMBER IT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-002,1st,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-002,2nd,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-002,3rd,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-002,4th,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
claude-3-5-sonnet-20240620,,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,5,1,2,1
o1-preview,,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,2,3,3,1,2
gpt-4o-mini,,1,1,2,2,1,2,5,2,4,2,1,5,11,6,1,11,11,9,3,1
o1-mini,,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,4,1,2
Llama-3.2-90B-Vision-Instruct,,4,2,1,4,1,3,5,3,1,2,4,1,9,1,1,1,10,2,1,3
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,TIME,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
claude-3-5-sonnet-20240620,,7.817906141,18.57381439,10.90022016,7.565140486,7.805557013,7.71668005,9.054613352,6.856441975,11.25653458,17.49432969,10.29703951,6.896842241,8.818075418,19.63658524,16.71878433,13.67574906,108.6849749,23.26016855,36.1133225,23.45243812
o1-preview,,104.4497061,77.71663094,75.68202066,81.71691871,95.71459532,69.40443349,87.89148498,82.86454391,102.2275496,137.7864189,102.9693379,277.3810668,65.52897215,81.81784201,189.4905777,258.5281093,249.31884,685.8135536,58.38458538,174.9750824
gpt-4o-mini,,13.73996568,17.48062015,28.86295676,28.8366425,12.36397815,26.84661317,72.30130672,27.81723571,67.67251992,27.81863832,24.79644251,81.0286622,175.6207128,78.2744329,17.62715745,262.1112397,233.4079914,264.4519441,49.3636086,18.60912442
o1-mini,,60.33943057,76.65739369,26.76679254,25.63960576,31.83382893,28.6885078,68.58515477,29.72099781,63.28039408,59.28199244,62.42425489,39.83201766,62.36594176,28.59467411,30.79103136,117.771502,109.5087926,164.858566,47.20486617,111.670603
Llama-3.2-90B-Vision-Instruct,,63.47120118,41.39189076,7.896079302,59.22865748,18.21951866,46.35024714,113.193115,46.51937461,11.13791108,30.31926799,101.4315238,14.76291299,239.8531127,9.950572968,24.08538365,19.77134943,383.4447782,43.51755977,9.729436159,75.06798005
