log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,num_it
01.txt,2,8,8,8,60.33943057,1
02.txt,4,16,16,16,76.65739369,2
03.txt,2,11,11,11,26.76679254,1
04.txt,2,10,10,10,25.63960576,1
05.txt,2,11,11,11,31.83382893,1
06.txt,2,10,10,10,28.6885078,1
07.txt,2,13,13,13,68.58515477,1
08.txt,2,12,12,12,29.72099781,1
09.txt,2,13,13,13,63.28039408,1
10.txt,2,9,9,9,59.28199244,1
11.txt,4,12,15,12,62.42425489,2
12.txt,2,10,9,9,39.83201766,1
13.txt,2,9,9,9,62.36594176,1
14.txt,2,10,10,10,28.59467411,1
15.txt,2,10,10,10,30.79103136,1
16.txt,4,24,22,22,117.771502,2
17.txt,4,25,24,24,109.5087926,2
18.txt,8,26,32,24,164.858566,4
order.txt,2,8,9,8,47.20486617,1
hotel.txt,4,13,13,13,111.670603,2
