log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,
01.txt,2,8,8,8,104.4497061
02.txt,2,16,16,16,77.71663094
03.txt,2,11,11,11,75.68202066
04.txt,2,10,10,10,81.71691871
05.txt,2,11,16,11,95.71459532
06.txt,2,10,10,10,69.40443349
07.txt,2,13,13,13,87.89148498
08.txt,2,12,12,12,82.86454391
09.txt,2,13,13,13,102.2275496
10.txt,2,9,10,9,137.7864189
11.txt,2,12,12,12,102.9693379
12.txt,8,10,10,10,277.3810668
13.txt,2,9,9,9,65.52897215
14.txt,2,10,10,9,81.81784201
15.txt,4,10,11,10,189.4905777
16.txt,4,24,23,23,258.5281093
17.txt,6,25,25,25,249.31884
18.txt,6,26,26,26,685.8135536
order.txt,2,8,8,8,58.38458538
hotel.txt,4,13,14,13,174.9750824
