,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
ground truth,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
gemini-1.5-pro-002,66.66666667,22.22222222,16.66666667,0,100,25,15.78947368,50,0,20,5.555555556,4.761904762,0,0,0,11.11111111,0,0,100,39.54545455
gemini-1.5-pro-002,33.33333333,22.22222222,16.66666667,0,0,25,3.947368421,0,50,20,11.11111111,0,50,0,0,0,6.137184116,0,100,16.36363636
gemini-1.5-pro-002,16.66666667,0,16.66666667,0,25,0,1.973684211,0,7.142857143,20,5.555555556,2.380952381,0,0,25,0,16.96750903,0,100,23.86363636
gemini-1.5-pro-002,16.66666667,22.22222222,16.66666667,7.142857143,25,25,1.973684211,0,0,0,11.11111111,4.761904762,0,0,50,0,0,0,100,0
claude-3-5-sonnet-20240620,33.33333333,22.22222222,0,21.42857143,25,50,3.289473684,50,0,20,1.587301587,9.523809524,100,0,50,11.11111111,15.16245487,49.84423676,40,47.72727273
o1-preview,50,22.22222222,66.66666667,21.42857143,25,50,3.289473684,50,50,0,16.66666667,28.57142857,100,0,0,5.555555556,61.01083032,1.323987539,100,0
gpt-4o-mini,16.66666667,1.851851852,0,1.19047619,0,12.5,0,0,0,10,0.396825397,0,0,0,50,0,0,0,0,21.02272727
o1-mini,33.33333333,22.22222222,0,7.142857143,25,25,1.315789474,50,50,20,0.264550265,14.28571429,100,0,50,19.44444444,0.36101083,0,30,14.31818182
Llama-3.2-90B-Vision-Instruct,0,0,16.66666667,1.19047619,0,0,0,0,0,0,0,4.761904762,50,0,50,0,0,0,0,0
gpt-4,0,0,0,0,0,25,0,0,0,5,0,0,0,0,0,0,0,0,0,0
gpt-4o,33.33333333,0,0,21.42857143,25,12.5,0,50,7.142857143,25,1.587301587,0,100,0,8.333333333,17.59259259,5.776173285,0,0,0
open-mixtral-8x22b,16.66666667,0,16.66666667,1.19047619,0,25,0,0,0,0,0.793650794,0,0,0,16.66666667,0,0,nan,40,0
codestral-2405,33.33333333,0,0,0,0,25,1.315789474,0,0,0,0,0,0,0,8.333333333,nan,0,0,20,0
mistral-large-2407,16.66666667,0,16.66666667,7.142857143,25,0,0,0,0,10,1.587301587,0,0,0,8.333333333,0,0,0,80,39.54545455
gemini-1.5-flash-002,0,0,0,0,0,0,0,0,0,50,0,0,0,0,8.333333333,6.018518519,0,0,30,0
Qwen2.5-72B-Instruct,0,3.703703704,0,0,0,12.5,0,50,0,30,0,0,25,0,0,0,0,0,20,0
Llama-3.1-405B-Instruct,16.66666667,3.703703704,16.66666667,21.42857143,0,25,0,50,0,0,1.587301587,2.380952381,0,0,0,0,0,0,0,32.72727273
Llama-3.1-405B-Instruct,16.66666667,3.703703704,16.66666667,21.42857143,0,25,0,50,0,0,1.587301587,2.380952381,0,0,0,0,0,0,0,32.72727273
WizardLM-2-8x22B,0,0,0,3.571428571,0,12.5,1.315789474,50,0,0,0,2.380952381,0,0,16.66666667,0,0,0,80,13.63636364
Llama-3.1-Nemotron-70B-Instruct,16.66666667,0,16.66666667,0,0,25,0,50,0,20,0,0,0,0,0,0,0,0,0,47.72727273
