,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
ground truth,1,0.933333333,0.967741935,1,0.927884615,0.96,0.934782609,1,0.966480447,0.990566038,0.914641375,0.881690141,1,0.956521739,1,0.985893417,1,0.971280057,1,1
gemini-1.5-pro-002,1,1,1,0.963768116,0.742307692,1,0.919148936,1,0.714285714,0.903846154,0.849344978,0.886255924,0.75,0.52,0.9,0.962466488,0.680866782,0.611111111,1,0.872552783
gemini-1.5-pro-002,0.904761905,1,1,0.888888889,0.692307692,1,1,0.866666667,0.967741935,0.91588785,0.834134615,0.865671642,1,0.764705882,0.888888889,0.95264624,0.890277431,0.371072344,1,0.993233083
gemini-1.5-pro-002,0.916666667,0.857142857,1,0.888888889,0.764705882,0.981132075,1,0.866666667,0.85,1,0.849344978,0.884057971,0.391304348,0.8,1,0.759036145,0.767239636,0.863636364,1,0.992102146
gemini-1.5-pro-002,1,1,1,1,0.764705882,1,1,0.866666667,0.875,0.447674419,0.84925816,0.886255924,0.75,0.52,1,0.818181818,0.833835039,0.730769231,1,1
claude-3-5-sonnet-20240620,0.863636364,1,0.971428571,1,0.928571429,1,1,1,0.895348837,0.912621359,1,1,1,0.789473684,1,0.967654987,0.741866667,0.878974297,0.956521739,0.988929889
o1-preview,1,1,0.962025316,0.85840708,1,0.967741935,1,1,0.759493671,0.816326531,0.897619048,0.945205479,1,0.75,0.956521739,0.912698413,0.946145216,0.881919238,1,0.637896427
gpt-4o-mini,0.916666667,0.990049751,0.885714286,0.511904762,0.9,1,0.647058824,0.909090909,0.888888889,0.556701031,0.84,0.862068966,0.153846154,0.481481481,0.444444444,0.882352941,0.5,0.80952381,1,0.925693754
o1-mini,1,1,0.971428571,1,0.971962617,1,1,1,0.967741935,1,0.96239718,0.97037037,1,0.789473684,1,0.862827225,0.571428571,0.49744898,1,0.991631799
Llama-3.2-90B-Vision-Instruct,0.875,0.95049505,1,0.921708185,0.9,0.4,1,0.866666667,0.863013699,0.502923977,0.42283105,1,1,0.8,1,0.933333333,0.500301023,0.7,1,0.693316278
gpt-4,0.882352941,0.8,0.96969697,0.941176471,0.692307692,1,0.833333333,0.288461538,0.982758621,1,0.857142857,0.666666667,0.682926829,0.866666667,0.888888889,0.916666667,0.571502323,0.363636364,0.666666667,0.984126984
gpt-4o,0.76,0.8,0,0.8125,0.928571429,0.981481481,0.546633941,1,0.954545455,1,0.316176471,0.873170732,1,0.444444444,0.952380952,0.399351702,0.919483375,0.395827101,1,0.887617066
open-mixtral-8x22b,1,0.3,1,0.473491773,0.975609756,1,0.933333333,0.866666667,0.823529412,0.844827586,0.866666667,0.871921182,0.5,0.8,0.965517241,0.882911392,0.611490558,nan,0.851851852,0.245213549
codestral-2405,0.90625,0.75,0.971428571,0.923076923,0.975609756,1,0.955555556,0.8125,0.4,0.561797753,0.758077879,0.666666667,0.457627119,0.428571429,1,nan,0.705782313,0.950073993,0.952380952,0.915271333
mistral-large-2407,1,1,1,0.948387097,0.684210526,0.563829787,0.758152174,0.933333333,0.548076923,0.84375,1,0.981818182,0.555555556,0.8,1,0.133131266,0.370449679,0.571428571,1,0.887793783
gemini-1.5-flash-002,0.882352941,0.990196078,0.391304348,0.888888889,0.51396648,0.9,0.833333333,0.722222222,0.857142857,1,0.759452055,0.473262032,0.75,0.5,1,0.856217617,0.232026383,0.5,0.819148936,0.815884477
Qwen2.5-72B-Instruct,0.882352941,1,0.9,0.928571429,0.888888889,1,0.928571429,1,0.814655172,1,0.875,0.873170732,0.828571429,0.75,0.888888889,0.31019037,0.800578035,0.807692308,0.7,0.87198586
Llama-3.1-405B-Instruct,1,1,1,0.955665025,0.942622951,1,0.974651458,1,0.895348837,0.735294118,1,1,0.75,0.666666667,0.9,0.935064935,0.687443541,0.449137986,0.823529412,1
Llama-3.1-405B-Instruct,1,1,1,0.955665025,0.942622951,1,0.974651458,1,0.895348837,0.735294118,1,1,0.75,0.666666667,0.9,0.935064935,0.687443541,0.449137986,0.823529412,1
WizardLM-2-8x22B,0.95,0.727272727,0.333333333,0.933333333,0.564705882,1,0.971851852,0.875,0.888888889,0.222222222,0.921548117,1,0.329113924,0.666666667,0.944444444,0.466666667,0.54989154,0.261550997,0.958333333,1
Llama-3.1-Nemotron-70B-Instruct,1,0.507317073,1,0.861878453,0.927419355,1,0.933333333,1,0.82,1,0.995560488,0.984251969,0.75,0.8,0.6,0.933333333,0.820152672,0.666666667,0.756756757,0.988929889
