,run,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,,avg,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NUMBER IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,>10,failed,,,,model,avg,1 it,>10,failed
gemini-1.5-pro-002,1st,1,2,1,2,1,2,1,1,1,1,2,2,3,4,3,1,1,6,1,1,,1.85,0,0,11,,,claude-3-5-sonnet-20240620,1.35,16,0,0
gemini-1.5-pro-002,2nd,1,1,1,3,1,1,1,1,1,1,1,2,5,1,3,1,7,4,1,2,,1.95,0,0,13,,,o1-mini,1.4,14,0,0
gemini-1.5-pro-002,3rd,1,4,1,2,1,2,1,1,2,1,2,3,2,1,5,4,1,2,1,2,,1.95,0,0,9,,,o1-preview,1.5,14,0,0
gemini-1.5-pro-002,4th,2,1,1,1,2,1,1,1,2,3,3,1,2,1,1,3,4,3,1,4,,1.9,0,0,10,,,gemini-1.5-pro-002,1.85,11,0,0
claude-3-5-sonnet-20240620,,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,5,1,2,1,,1.35,0,0,16,,,gemini-1.5-pro-002,1.9,10,0,0
o1-preview,,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,2,3,3,1,2,,1.5,0,0,14,,,gemini-1.5-pro-002,1.95,13,0,0
gpt-4o-mini,,1,1,2,2,1,2,5,2,4,2,1,5,11,6,1,11,11,9,3,1,,4.05,3,0,6,,,gemini-1.5-pro-002,1.95,9,0,0
o1-mini,,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,4,1,2,,1.4,0,0,14,,,gpt-4o,2.25,9,0,0
Llama-3.2-90B-Vision-Instruct,,4,2,1,4,1,3,5,3,1,2,4,1,9,1,1,1,10,2,1,3,,2.95,0,0,8,,,Llama-3.1-405B-Instruct,2.55,9,0,0
gpt-4,,7,8,2,2,2,1,8,2,2,5,2,5,2,1,4,4,8,8,3,2,,3.9,0,0,2,,,mistral-large-2407,2.6,10,0,0
gpt-4o,,1,3,2,1,1,2,2,1,1,1,1,2,4,2,1,4,1,3,2,10,,2.25,0,0,9,,,Llama-3.2-90B-Vision-Instruct,2.95,8,0,0
open-mixtral-8x22b,,1,11,1,1,2,1,11,1,4,5,1,3,3,1,1,1,5,15,3,1,,3.6,3,1,10,,,gemini-1.5-flash-002,3.3,4,0,0
codestral-2405,,1,4,1,3,11,1,1,2,4,2,1,3,5,7,1,15,3,4,1,8,,3.9,2,1,7,,,open-mixtral-8x22b,3.6,10,3,1
mistral-large-2407,,1,1,1,1,10,2,1,1,5,1,3,2,7,2,1,2,3,6,1,1,,2.6,0,0,10,,,gpt-4,3.9,2,0,0
gemini-1.5-flash-002,,3,6,3,2,5,3,4,1,4,1,3,3,4,3,1,3,4,8,1,4,,3.3,0,0,4,,,codestral-2405,3.9,7,2,1
