log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,3.0,8,11,8,24.138976097106934,
02.txt,2.0,16,17,16,29.679184198379517,
03.txt,4.0,11,14,11,54.6429340839386,
04.txt,3.0,10,11,10,37.78638553619385,
05.txt,2.0,11,12,11,22.928496599197388,
06.txt,1.0,10,10,10,10.623897790908813,
07.txt,1.0,13,13,13,12.171002626419067,
08.txt,2.0,12,13,12,21.078370094299316,
09.txt,1.0,13,13,13,9.777940273284912,
10.txt,2.0,9,11,9,22.22748327255249,
11.txt,1.0,12,12,12,11.195600986480713,
12.txt,1.0,10,11,10,9.583833694458008,
13.txt,3.0,9,11,8,37.27531838417053,
14.txt,8.0,10,17,10,125.31502985954285,
15.txt,8.0,10,13,10,132.22660398483276,
16.txt,2.0,24,24,24,38.976290464401245,
17.txt,3.0,25,27,25,71.12192559242249,
18.txt,11.0,26,30,26,234.6024525165558,
19.txt,2.0,8,9,8,18.619200468063354,
20.txt,10.0,13,17,13,184.8252248764038,
