log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,1.0,8,8,8,7.989671468734741,
02.txt,6.0,16,16,16,103.36789107322693,
03.txt,3.0,11,11,9,52.10970902442932,
04.txt,4.0,10,11,9,53.75891327857971,
05.txt,2.0,11,13,11,30.17756199836731,
06.txt,1.0,10,10,10,11.081254482269287,
07.txt,1.0,13,14,13,12.899233102798462,
08.txt,1.0,12,11,11,7.848027467727661,
09.txt,1.0,13,13,13,10.99235463142395,
10.txt,1.0,9,12,9,10.85594654083252,
11.txt,1.0,12,12,12,11.926798820495605,
12.txt,2.0,10,13,10,23.30450177192688,
13.txt,2.0,9,10,9,21.36736249923706,
14.txt,2.0,10,11,10,22.396414279937744,
15.txt,1.0,10,10,10,8.730469703674316,
16.txt,3.0,24,21,21,69.88395619392395,
17.txt,5.0,25,32,25,129.6120879650116,
18.txt,2.0,26,26,25,45.161649227142334,
19.txt,2.0,8,9,8,16.33621120452881,
20.txt,5.0,13,21,12,99.7043194770813,
log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,1.0,8,8,8,6.59034276008606,
