process_id,fitness_percFitTraces,averageFitness,precision,f_measure
1,0,0.669179894,0.904761905,0.769340361
2,0,0.804750302,0.833333333,0.818792444
3,0,0.881410256,0.673076923,0.763283109
4,17.85714286,0.857142857,0.924078091,0.889352818
5,0,0.719444444,0.5,0.589977221
6,0,0.784465534,0.909090909,0.842192758
7,0.657894737,0.802000193,1,0.890122205
8,33.33333333,0.948717949,0.791666667,0.8631062
9,14.28571429,0.922077922,0.577669903,0.710328303
10,10,0.846124072,0.731343284,0.784557798
11,0,0.31180463,0.5,0.384088263
12,0,0.658419953,0.648148148,0.653243674
13,0,0.877083333,0.620689655,0.72694134
14,0,0.867521368,0.875,0.871244635
15,0,0.786713287,0.681818182,0.730519481
16,0,0.794990147,0.13559322,0.231672471
17,0,0.916296671,0.614135407,0.735387395
18,0,0.709899075,0.461538462,0.559390862
19,0,0.876731602,0.904761905,0.890526237
20,6.818181818,0.861114082,0.69630643,0.769990208
