log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,4.0,8,10,8,52.217580795288086,
02.txt,9.0,16,18,16,159.31233263015747,
03.txt,1.0,11,10,10,11.796260118484497,
04.txt,1.0,10,7,7,8.06212067604065,
05.txt,3.0,11,13,8,45.13815927505493,
06.txt,1.0,10,12,10,13.016567945480347,
07.txt,2.0,13,13,13,34.739370346069336,
08.txt,1.0,12,11,11,10.883432865142822,
09.txt,1.0,13,7,7,9.090492248535156,
10.txt,3.0,9,12,9,42.0492639541626,
11.txt,1.0,12,17,12,21.521461725234985,
12.txt,2.0,10,9,9,19.068283319473267,
13.txt,1.0,9,8,7,8.906405687332153,
14.txt,4.0,10,12,10,38.72960138320923,
15.txt,1.0,10,10,10,8.016107559204102,
16.txt,3.0,24,17,17,53.865877628326416,
17.txt,7.0,25,19,17,161.1378879547119,
18.txt,11.0,26,37,25,294.76582312583923,
19.txt,2.0,8,10,8,19.569657564163208,
20.txt,3.0,13,13,13,52.67047381401062,
