log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,1.0,8,8,8,7.1715919971466064,
02.txt,4.0,16,19,16,67.42796039581299,
03.txt,1.0,11,11,11,9.621928930282593,
04.txt,2.0,10,13,10,18.662111282348633,
05.txt,1.0,11,11,11,8.568846464157104,
06.txt,1.0,10,10,10,8.683430671691895,
07.txt,1.0,13,13,13,10.730617046356201,
08.txt,1.0,12,12,12,8.044439792633057,
09.txt,3.0,13,15,13,36.69355058670044,
10.txt,1.0,9,9,9,8.24528431892395,
11.txt,2.0,12,12,12,23.46534276008606,
12.txt,1.0,10,10,10,8.44727897644043,
13.txt,2.0,9,10,9,14.206754684448242,
14.txt,1.0,10,9,9,10.162439107894897,
15.txt,3.0,10,10,10,24.57557249069214,
16.txt,6.0,24,27,24,140.69904470443726,
17.txt,6.0,25,34,25,188.41834449768066,
18.txt,Error,26,None,None,412.22574830055237,"gemini-1.5-pro-002 failed to fix the errors after 15 iterations! This is the error history: ['Error occurred at line 63: ""main_flow_acceptance = gen.partial_order(dependencies=[(initial_steps, eval_finance_concurrent),"" with message: Exception: Ensure that each submodel is used uniquely! Avoid trying to reuse submodels that were used as children of other constructs (xor, loop, or partial_order) before! The error occured when trying to reuse a node of type Activity (Begin attending classes).', 'Error occurred at line 69: ""main_flow = gen.partial_order(dependencies=[(initial_steps, eval_finance_concurrent),"" with message: Exception: Ensure that each submodel is used uniquely! Avoid trying to reuse submodels that were used as children of other constructs (xor, loop, or partial_order) before! The error occured when trying to reuse a node of type Activity (Send acceptance letter).', 'The transitive closure of the provided relation violates irreflexivity!', 'Error occurred at line 58: ""main_flow = gen.partial_order(dependencies=["" with message: Exception: Ensure that each submodel is used uniquely! Avoid trying to reuse submodels that were used as children of other constructs (xor, loop, or partial_order) before! The error occured when trying to reuse a node of type Activity (Send rejection letter).', 'Error occurred at line 58: ""main_flow = gen.partial_order(dependencies=["" with message: Exception: Ensure that each submodel is used uniquely! Avoid trying to reuse submodels that were used as children of other constructs (xor, loop, or partial_order) before! The error occured when trying to reuse a node of type Activity (Send rejection letter).', 'Error occurred at line 58: ""main_flow = gen.partial_order(dependencies=["" with message: Exception: Ensure that each submodel is used uniquely! Avoid trying to reuse submodels that were used as children of other constructs (xor, loop, or partial_order) before! The error occured when trying to reuse a node of type Activity (Cancel application).', 'The transitive closure of the provided relation violates irreflexivity!', 'The transitive closure of the provided relation violates irreflexivity!', 'Error occurred at line 63: ""main_flow = gen.partial_order(dependencies=["" with message: Exception: Ensure that each submodel is used uniquely! Avoid trying to reuse submodels that were used as children of other constructs (xor, loop, or partial_order) before! The error occured when trying to reuse a node of type Activity (Send acceptance letter).', 'The transitive closure of the provided relation violates irreflexivity!', 'The transitive closure of the provided relation violates irreflexivity!', 'The transitive closure of the provided relation violates irreflexivity!', 'The transitive closure of the provided relation violates irreflexivity!', 'The transitive closure of the provided relation violates irreflexivity!', 'The transitive closure of the provided relation violates irreflexivity!']"
19.txt,2.0,8,9,8,20.261133193969727,
20.txt,7.0,13,16,13,160.35374426841736,
log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
