log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,1.0,8,8,8,6.629332065582275,
02.txt,3.0,16,15,15,48.13266587257385,
03.txt,2.0,11,12,11,30.12519383430481,
04.txt,1.0,10,10,10,10.846133708953857,
05.txt,2.0,11,12,11,29.407705307006836,
06.txt,1.0,10,10,10,13.705300569534302,
07.txt,1.0,13,13,13,11.41493844985962,
08.txt,1.0,12,12,12,8.839498519897461,
09.txt,1.0,13,13,13,10.234318256378174,
10.txt,1.0,9,9,9,7.262130260467529,
11.txt,1.0,12,12,12,11.398003339767456,
12.txt,1.0,10,9,9,6.530588150024414,
13.txt,2.0,9,10,9,20.852188110351562,
14.txt,3.0,10,10,10,32.38751792907715,
15.txt,1.0,10,10,10,11.411625385284424,
16.txt,7.0,24,24,24,160.93893313407898,
17.txt,4.0,25,22,22,101.5341386795044,
18.txt,12.0,26,30,26,260.5982599258423,
19.txt,1.0,8,9,8,7.558577299118042,
20.txt,11.0,13,17,13,241.47232842445374,
