process_id,fitness_percFitTraces,averageFitness,precision,f_measure
1,0,0.619444444,0.789473684,0.69419944
2,0,0.802139292,0.844444444,0.822748402
3,0,0.587606838,0.5,0.540275049
4,0,0.840430403,0.882653061,0.861024417
5,0,0.831576325,0.692307692,0.755578089
6,25,0.917748918,0.911111111,0.914417969
7,0,0.706127844,0.928571429,0.802215003
8,0,0.714285714,0.666666667,0.689655172
9,0,0.898670287,0.593495935,0.714876338
10,15,0.83224026,0.5625,0.671286489
11,0,0.521793876,0.5,0.510664517
12,0,0.786852433,0.984251969,0.874551557
13,0,0.706299603,0.714285714,0.710270211
14,0,0.811965812,0.666666667,0.732177264
15,0,0.839583333,0.818181818,0.82874443
16,7.407407407,0.906593787,0.950289017,0.927927295
17,1.444043321,0.879260851,0.829779797,0.853804023
18,0,0.778639379,0.4,0.528500502
19,0,0.848333333,0.954545455,0.898310782
20,0,0.856671832,0.857685009,0.857178121
