log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time
01.txt,2,8,12,8,5.076887131
02.txt,3,16,20,16,11.40202498
03.txt,6,11,17,11,16.86374974
04.txt,12,10,11,10,42.03841114
05.txt,2,11,12,11,4.314513683
06.txt,1,10,12,10,3.28198576
07.txt,4,13,16,13,12.74764824
08.txt,11,12,17,12,38.20740747
09.txt,2,13,17,13,5.899753809
10.txt,5,9,7,6,11.94239211
11.txt,3,12,14,12,8.152497053
12.txt,3,10,11,10,7.643203974
13.txt,4,9,11,9,8.433377504
14.txt,3,10,12,10,7.338948488
15.txt,5,10,14,10,13.45115066
16.txt,4,24,29,23,16.81016636
17.txt,5,25,26,24,20.53517175
18.txt,4,26,33,24,20.83242011
19.txt,5,8,10,8,13.06858873
20.txt,5,13,15,12,15.85305882
