process_id,fitness_percFitTraces,averageFitness,precision,f_measure
1,16.66666667,0.773148148,0.916666667,0.838812785
2,0,0.901002506,0.857142857,0.878525608
3,0,0.827991453,0.857142857,0.842315008
4,21.42857143,0.93907563,0.742857143,0.829520717
5,100,1,0.696153846,0.820861678
6,25,0.921474359,1,0.959132611
7,3.947368421,0.877408627,1,0.934701817
8,0,0.807692308,0.866666667,0.836140888
9,23.80952381,0.913657771,0.994666667,0.952442794
10,10,0.849723193,0.920353982,0.88362941
11,0,0.774555768,0.764705882,0.76959931
12,9.523809524,0.860941043,1,0.925274926
13,50,0.908617424,0.761904762,0.828818615
14,0.0,0.9142857142857144,0.7142857142857143,0.8020050125313284
15,50,0.954545455,1,0.976744186
16,50,0.970407791,0.895127119,0.93124854
17,30.32490975,0.955603412,0.858171503,0.904270546
18,0,0.922328708,0.777777778,0.843908048
19,40,0.948809524,0.913043478,0.93058297
20,0,0.923462004,0.513658537,0.660131323
,,,,0.86190099
