log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,1,8,8,8,7.103282213,
02.txt,1,16,16,16,12.87183118,
03.txt,1,11,12,11,12.88144946,
04.txt,1,10,10,10,7.024474144,
05.txt,1,11,10,10,9.636958599,
06.txt,3,10,10,10,31.15992069,
07.txt,1,13,13,13,12.65067101,
08.txt,1,12,12,12,7.733694315,
09.txt,1,13,17,13,10.02150655,
10.txt,3,9,10,9,41.3290801,
11.txt,1,12,12,12,10.59245729,
12.txt,1,10,10,10,8.318083525,
13.txt,2,9,10,9,22.68323874,
14.txt,1.0,10,11,10,8.673584461212158,
15.txt,1,10,10,10,7.243886709,
16.txt,1,24,24,24,18.3301053,
17.txt,1,25,24,24,21.9893055,
18.txt,1,26,26,26,17.4730165,
19.txt,3,8,9,8,35.97749925,
20.txt,3,13,14,12,60.18953753,
