log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,2,8,11,8,20.91188455,
02.txt,1,16,17,13,14.3330586,
03.txt,2,11,19,11,31.67729306,
04.txt,2,10,11,10,15.68405294,
05.txt,1,11,11,11,8.898599148,
06.txt,1,10,10,10,8.018388987,
07.txt,1,13,14,13,13.08521199,
08.txt,1,12,13,12,8.054274559,
09.txt,2,13,17,13,26.88651705,
10.txt,1,9,10,9,8.336791277,
11.txt,2,12,17,12,25.97437859,
12.txt,1,10,12,10,9.939771652,
13.txt,2,9,10,9,16.3331387,
14.txt,5,10,14,10,64.2203691,
15.txt,1,10,11,10,10.17989922,
16.txt,1,24,24,24,19.19138813,
17.txt,2,25,25,24,42.49684429,
18.txt,4,26,31,25,96.89742327,
19.txt,2,8,9,8,17.01641083,
20.txt,3,13,13,12,54.9625268,
