log_name,added_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time (sec),error message
01.xes,1,8,9,8,2.65504837,
02.xes,1,16,17,16,3.623555183,
03.xes,1,11,13,11,5.060785294,
04.xes,1,10,11,10,5.313198328,
05.xes,1,11,14,11,4.172298193,
06.xes,1,10,12,10,3.727730751,
07.xes,1,13,15,13,4.074766874,
08.xes,1,12,12,12,3.426711082,
09.xes,4,13,24,13,3.442318439,
10.xes,1,9,9,9,3.631311655,
11.xes,1,12,13,12,2.838125229,
12.xes,2,10,10,10,3.496059179,
13.xes,2,9,13,9,3.800267458,
14.xes,1,10,11,9,3.14140749,
15.xes,1,10,10,10,4.534827709,
16.xes,1,24,26,22,5.607923508,
17.xes,1,25,29,24,4.98225975,
18.xes,1,26,32,26,5.870881796,
19.xes,3,8,8,8,3.345689774,
20.xes,2,13,17,13,4.354974985,
