log_name,added_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time (sec),error message
01.xes,3,8,8,8,9.12094259262085,
02.xes,2,16,20,16,18.31552553,
03.xes,1,11,11,11,9.909609079,
04.xes,1,10,11,10,11.63497043,
05.xes,1,11,11,11,10.61426377,
06.xes,1,10,11,10,13.06146002,
07.xes,1,13,13,13,14.39414287,
08.xes,1,12,12,12,9.213559628,
09.xes,1,13,17,13,12.15044546,
10.xes,1,9,9,9,10.89093018,
11.xes,1,12,12,12,10.92424917,
12.xes,1,10,10,10,8.195895195,
13.xes,1,9,12,9,9.75240922,
14.xes,1,10,10,10,11.74714518,
15.xes,1,10,10,10,6.826456547,
16.xes,1,24,31,24,22.9855926,
17.xes,1,25,25,25,24.1318171,
18.xes,2,26,27,26,25.28088045,
19.xes,1,8,8,8,7.544014692,
20.xes,1,13,13,13,17.57501245,
