process_id,fitness_percFitTraces,averageFitness,precision,f_measure,old,,,
1,33.33333333,0.844047619,1,0.915429309,0.804541805,0.11,TRUE,FALSE
2,0,0.901002506,0.8,0.847502578,0.774889404,0.07,TRUE,FALSE
3,0,0.795454545,0.9,0.844504021,0,0.84,TRUE,FALSE
4,21.42857143,0.935119048,0.8125,0.869507834,0.869507834,0.00,FALSE,FALSE
5,25,0.924305556,0.928571429,0.926433581,0.926433581,0.00,FALSE,FALSE
6,12.5,0.866418998,0.981481481,0.920367965,0.920367965,0.00,FALSE,FALSE
7,0,0.750371545,0.546633941,0.632500879,0.625045547,0.01,FALSE,FALSE
8,50,0.954545455,1,0.976744186,0.976744186,0.00,FALSE,FALSE
9,7.142857143,0.865596963,0.90647482,0.88556441,0.90449664,-0.02,FALSE,FALSE
10,10,0.848349567,1,0.917953597,0.944876564,-0.03,FALSE,TRUE
11,1.587301587,0.781259334,0.316176471,0.450169054,0.450169054,0.00,FALSE,FALSE
12,0,0.756314453,0.873170732,0.810552499,0.810552499,0.00,FALSE,FALSE
13,100,1,1,1,1,0.00,FALSE,FALSE
14,0,0.822916667,0.5,0.622047244,0.561315346,0.06,TRUE,FALSE
15,8.333333333,0.843434343,0.952380952,0.89460292,0.89460292,0.00,FALSE,FALSE
16,20.37037037,0.933897555,0.394413751,0.554601976,0.557808327,0.00,FALSE,FALSE
17,5.776173285,0.911421802,0.919483375,0.915434841,0.915434841,0.00,FALSE,FALSE
18,0,0.773639646,0.395827101,0.523704568,0.523704568,0.00,FALSE,FALSE
19,0,0.89,1,0.941798942,0.941798942,0.00,FALSE,FALSE
20,0,0.576769401,0.887617066,0.699201167,0.699201167,0.00,FALSE,FALSE
,,,,0.807431079,0.75507456,,,
