log_name,added_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time (sec),error message
01.xes,2,8,8,8,10.56061769,
02.xes,1,16,17,15,15.50457358,
03.xes,1,11,12,11,51.71594763,
04.xes,1,10,10,10,10.72078872,
05.xes,1,11,11,11,9.176377773,
06.xes,1,10,11,10,9.478217125,
07.xes,1,13,14,13,9.981201649,
08.xes,1,12,12,12,10.21212578,
09.xes,1,13,13,13,11.16284513,
10.xes,1,9,9,9,11.33886409,
11.xes,1,12,12,12,12.53017807,
12.xes,1,10,11,10,10.20236206,
13.xes,1,9,11,9,9.998819113,
14.xes,1,10,11,10,12.49243593,
15.xes,1,10,10,10,11.72870874,
16.xes,1,24,31,23,15.99022102,
17.xes,1,25,24,24,16.84501028,
18.xes,1,26,29,26,19.91656184,
19.xes,1,8,9,8,12.00147152,
20.xes,1,13,21,13,19.75723433,
