log_name,len_conv,self-ev scores_IT1,self-ev scores_IT2,self-ev scores_IT3,self-ev scores_IT4
p01,3,0.85,0.8,0.85,0.95
p02,3,0.95,0.8,0.85,0.9
p03,3,0.75,0.85,0.85,0.9
p04,3,0.85,0.9,0.7,0.95
p05,3,0.95,0.85,0.7,0.75
p06,3,0.95,0.85,0.9,0.85
p07,3,0.85,0.8,0.75,0.92
p08,3,0.95,0.85,0.85,0.75
p09,3,0.95,0.8,0.75,0.9
p10,3,0.85,0.6,0.7,0.95
p11,3,0.95,0.8,0.9,0.85
p12,3,0.85,0.6,0.7,0.95
p13,3,0.7,0.8,0.95,0.85
p14,3,0.95,0.85,0.75,0.9
p15,3,0.95,0.85,0.6,0.8
p16,3,0.85,0.8,0.82,0.88
p17,3,0.75,0.8,0.65,0.85
p18,3,0.75,0.85,0.6,0.8
p19,3,0.8,0.75,0.8,0.5
p20,3,0.92,0.75,0.85,0.6
