log_name,len_conv,self-ev scores_IT1,self-ev scores_IT2,self-ev scores_IT3,self-ev scores_IT4,f_measure_IT1,f_measure_IT2,f_measure_IT3,f_measure_IT4
p01,3,0.9,0.8,0.5,0.7,0.978723404,0.876526459,0.838812785,0.872062663
p02,3,0.7,0.8,0.3,0.9,0.974915254,0.974915254,0.860771531,0.974915254
p03,3,0.5,1,1,1,0.942307692,0.942307692,0.942307692,0.942307692
p04,3,0.95,0.65,0.6,1,0.907846523,0.842561648,0.847298272,0.93619094
p05,3,0.9,0.6,0.7,0.8,0.85209713,0.767889272,0.84345201,0.84345201
p06,3,0.9,1,0.9,1,0.959132611,0.959132611,0.897116612,0.959132611
p07,3,0.9,0.7,0.8,0.95,0.929036467,0.934701817,0.90939545,0.90939545
p08,3,0,1,1,1,0.978723404,0.836140888,0.836140888,0.836140888
p09,3,0.5,0.7,0.55,0.3,0.799860286,0.973168103,0.862706335,0.784453171
p10,3,0.6,0.6,0.8,0.55,0.909132239,0.902258954,0.94643239,0.574426879
p11,3,0.2,0.6,0.7,0.9,0.856180403,0.863701248,0.856180403,0.888219724
p12,3,0.9,0.7,0.6,0.95,0.864212719,0.823433605,0.845823984,0.864212719
p13,3,0.5,0.45,0.4,0.95,0.777476903,0.965357968,0.532189371,0.777476903
p14,3,0.6,0.95,0.2,0.6,0.652348357,0.834680061,0.832393644,0.652348357
p15,3,0.6,0.6,0.9,1,0.839552239,0.859593679,0.949671772,0.976744186
p16,3,0.7,0.9,0.2,0.8,0.954297354,0.955783959,0.809192282,0.85054592
p17,3,0.2,0.9,0.1,0.95,0.735645013,0.896285795,0.84758954,0.813361388
p18,3,0.6,0.7,0.65,0.9,0.659869089,0.517986215,0.885502555,0.807288889
p19,3,1,1,1,1,1,1,1,1
p20,3,0.9,0.95,0.7,0.85,0.913897089,0.952799381,0.963631846,0.968625581
